email_body,subject_line,translation,
"All:  attached is the summary of issues for 06/05/01.
Due to the inclimate weather in Sugarland I was not able to issue the report on time.
Sorry for the delay.
",Log as of 06/05/01,"모두: 첨부된 것은 06/05/01의 문제 요약입니다.
Sugarland의 악천후로 인해 보고서를 제때 발행할 수 없었습니다.
지연되어 죄송합니다.
",
"Just a reminder that the EGM weekly staff meeting will take place on Monday, June 11th, from 8:30 - 9:30 a.m., in video conference room EB 32C2.
The staff meetings will continue on a weekly basis on every Monday at the same time and location unless notified otherwise.
Please let me know if you are unable to attend.
Thank you.
Cathy Phillips X-36898
",EGM Weekly Staff Meeting - Reminder,"EGM 주간 직원 회의가 6월 11일 월요일 오전 8시 30분부터 9시 30분까지 화상 회의실 EB 32C2에서 열릴 것임을 알려드립니다.
직원 회의는 별도로 통지하지 않는 한 매주 월요일 같은 시간과 장소에서 매주 계속 진행됩니다.
참석이 어려우시다면 알려주세요.
감사합니다.
[발신자] [전화번호]",
"The Operational Analysis review is scheduled to begin the week of June 11, 2001 and is expected to take approximately six weeks to complete.
The audit will be executed by Arthur Andersen and Enron Assurance Services and led by Gillian Boyer and Juan Camarillo.
We will schedule an opening meeting with you the week of June 11, 2001 to discuss audit scope and any concerns or suggestions you may have.
The objective of the audit will be to determine whether procedures and controls exercised over activities are adequate and operating effectively.
Results of the audit will be discussed with you and other appropriate personnel both during the audit and at the audit closing meeting.
We will endeavor to conduct this audit in a manner that will minimize interruption of your normal business activities and we look forward to working with you and your personnel.
Please call me at x5-4554 if have any questions.
Mechelle Atwood Director, Enron Assurance Services Enron Wholesale Services
",Operational Analysis Audit Notification,"운영 분석 검토는 2001년 6월 11일 주에 시작될 예정이며 완료까지 약 6주가 걸릴 것으로 예상됩니다.
감사는 [기업명]과 [기업명]에서 실행하고 [이름]와 [이름1]가 주도합니다.
2001년 6월 11일 주에 감사 범위와 우려 사항 또는 제안 사항을 논의하기 위해 개회 회의를 예약합니다.
감사의 목적은 활동에 대해 행사된 절차와 통제가 적절하고 효과적으로 운영되는지 확인하는 것입니다.
감사 결과는 감사 중과 감사 마감 회의에서 귀하와 다른 적절한 인력과 논의합니다.
귀하의 정상적인 사업 활동을 방해하지 않는 방식으로 이 감사를 수행하려고 노력할 것이며 귀하와 귀하의 인력과 협력하기를 기대합니다.
질문이 있으면 [전화번호]로 전화해 주십시오.
[기업명] 이사 [발신자]
",
"Tina,  Attached is the Global Risk Management Operations Update for the Philippe and Greg Weekly Report, for the week ending June 6.
If you have any questions, please let me know.
Thank you,
",Global Risk Management Operations Weekly Operating Report,"[수신자], [이름]과 [이름1]의 주간 보고서에 대한 글로벌 리스크 관리 운영 업데이트를 첨부했습니다. 6월 6일로 끝나는 주입니다.
질문이 있으면 알려주세요.
감사합니다.",
"Over the last several months, the CommodityLogic team has designed, built, and beta-tested a number of ""modules"" to create EnronOnline-type capabilities for the mid and back-office.
By combining these web-based solutions with the back-office commercialization effort, Enron can now offer its clients a complete suite of operational services unique in the industry.
Many of you have also created important pieces in this puzzle, and all of you have valuable client relationships.
We'd like to put all of these elements together.
Please join our team for a demonstration of the CommodityLogic modules and a discussion on strategy next Thursday, June 14, 2:30 to 3:30, 49C1.
If I have excluded anyone from the invitation list that you feel should attend, please let me know.
Looking forward to seeing you next week.
All the best,
","CommodityLogic, Back-Office Commercialization and You","지난 몇 달 동안 CommodityLogic 팀은 중간 및 백오피스를 위한 EnronOnline 유형 기능을 만들기 위해 여러 ""모듈""을 설계, 구축 및 베타 테스트했습니다.
이러한 웹 기반 솔루션을 백오피스 상용화 노력과 결합함으로써 Enron은 이제 업계에서 독보적인 완전한 운영 서비스 제품군을 고객에게 제공할 수 있습니다.
여러분 중 많은 분들이 이 퍼즐에서 중요한 부분을 만들어냈으며, 여러분 모두 귀중한 고객 관계를 맺고 있습니다.
저희는 이러한 모든 요소를 하나로 모으고 싶습니다.
다음 목요일 6월 14일 오후 2시 30분부터 오후 3시 30분까지 49C1에서 CommodityLogic 모듈 데모와 전략에 대한 토론에 저희 팀에 참여해 주세요.
초대 목록에서 참석해야 한다고 생각되는 사람을 제외했다면 알려주세요.
다음 주에 뵙기를 기대하겠습니다.
최고의 소식을 전합니다.",
"Hi,  I just came across following discussion on Economics that provides an interesting insight.
Economic philosophies explained in terms of two cows: Socialism - You have two cows.
You give one to your neighbor.
Communism - You have two cows.
The government takes both and gives you milk.
Fascism - You have two cows.
The government takes them both and sells you the milk.
Capitalism - You have two cows.
You sell one and buy a bull.
Bureaucracy - You have two cows.
The government takes them both, shoots one,  milks the other, pays you for the milk , then pours it down the drain.
Corporate - You have two cows.
You downsize one, then require the other one to produce the milk of four cows, then act surprised when it falls dead.
Democracy - You have two cows.
You are taxed to the point where you have to sell them both so that the government can support a man in a foreign country who has one cow, which was a gift from your country.
Hope you enjoyed.
Inja Chun
","To lighten up your day,","안녕하세요, 방금 경제학에 대한 다음 토론을 우연히 보게 되었는데, 흥미로운 통찰력을 제공해 줍니다.
두 마리의 소를 기준으로 설명한 경제 철학: 사회주의 - 두 마리의 소가 있습니다. 
한 마리는 이웃에게 줍니다.
공산주의 - 두 마리의 소가 있습니다.
정부가 두 마리를 모두 가져가서 우유를 줍니다.
파시즘 - 두 마리의 소가 있습니다.
정부가 두 마리를 모두 가져가서 우유를 판매합니다.
자본주의 - 두 마리의 소가 있습니다.
한 마리를 팔고 황소를 삽니다.
관료주의 - 두 마리의 소가 있습니다.
정부가 두 마리를 모두 가져가서 한 마리는 총으로 쏴 죽이고 다른 한 마리는 젖을 짜서 우유값을 지불한 다음, 그 우유를 하수구에 버립니다.
기업 - 두 마리의 소가 있습니다.
한 마리를 줄인 다음 다른 한 마리에게 네 마리의 소의 우유를 생산하라고 요구한 다음, 그 소가 죽어서 놀라는 척합니다.
민주주의 - 두 마리의 소가 있습니다.
정부가 외국에서 한 마리의 소를 가진 사람을 부양할 수 있도록 두 마리를 모두 팔아야 할 정도로 세금이 부과됩니다. 소, 당신 나라에서 선물한 거였어요.
즐기셨으면 좋겠어요.
[발신자]
",
"Recent Hires,    Don't miss the opportunity to learn about:  ?
What success looks like at Enron ?
What it means to be a good cultural fit at Enron ?
What resources are available for you to use to enhance your job performance ?
What is the PRC process at Enron    Join us this Tuesday, June 12th from 11:45 AM to 2 PM @ EB49C1.
An open Q&A session will occur during the last hour of the presentation.
Lunch will not be served.
You may bring your own lunch if you would like.
",New Hire Focus Series,"최근 채용, 다음에 대해 알아볼 기회를 놓치지 마세요.
[기업명]에서 성공이란 어떤 모습일까요?
[기업명]에서 좋은 문화적 적합성을 갖는다는 것은 무엇을 의미할까요?
직무 수행 능력을 향상시키기 위해 사용할 수 있는 리소스는 무엇일까요?
[기업명]의 PRC 프로세스는 무엇일까요? 이번 화요일 6월 12일 오전 11시 45분부터 오후 2시까지 [회의실]에서 함께 하세요.
프리젠테이션 마지막 시간 동안 오픈 Q&A 세션이 진행됩니다.
점심은 제공되지 않습니다.
원하시면 점심을 직접 가져오셔도 됩니다.
",
"Guys, given our continued need to be crisp and clear on our work product and a clear view to increasing efficiencies, particularily in the back and mid office, I think it would be a good exercise to clearly map out roles and responsibilities between ENW and the EES Services Group in some amount of detail.
Dan will take the lead in this activity.
I would hope that we could have this mapped out fairly quickly without a great deal of internal time.
Thanks for all the hard work.
Regards
",Roles and Responsibilities,"여러분, 업무 결과물에 대해 명확하고 명확하게 해야 하고, 특히 백오피스와 미드오피스에서 효율성을 높이기 위한 명확한 관점을 가져야 한다는 점을 감안할 때, ENW와 EES 서비스 그룹 간의 역할과 책임을 어느 정도 자세히 명확하게 계획하는 것이 좋은 연습이 될 것이라고 생각합니다.
댄이 이 활동을 주도할 것입니다.
저는 많은 내부 시간 없이도 이것을 상당히 빠르게 계획할 수 있기를 바랍니다.
모든 노고에 감사드립니다.
감사합니다.
",
"Mike & Sally,  Below is the information that we received on the project.
I am still waiting on a cost center from EES for the expense portions to settle to.
Look over this information and let me know if you still want to meet to go over this.
This is the EES project, which is set up on EES to capture the capital portion of the project costs.
The expense portion should settle to an EES cost center.
The project set up shown below is the Networks project, which I set up, but have not yet released.
Only Release 1 is shown below.
There are three releases set up, but only the first one will be released at this time.
All three releases or phases will look like the other phases.
As you can see below, the capital parts of the project (Solution Definition, Design & Build, and Implementation & Testing) are set up with three basic WBS elements.
These elements as described below will settle to the EES project as follows.
Project Coding on Networks Project					Settles to EES Project WBS C.300000.01.SD.OU	Rel 1 SD Outside Consultants Labor		C.007730.22.01 Outside Professional C.300000.01.SD.EN	Rel 1 SD Enron Labor				C.007730.22.03 Enron Labor C.300000.01.SD.OE	Rel 1 SD Other Expenditures			C.007730.22.05 Other Expenditure  C.300000.01.HW Hardware Purchases					C.007730.24.01 Hardware C.300000.01.SW Software Purchases				            C.007730.24.02 Software  This will allow the costs on the Networks project to be tracked in a manor that will support how the charges are settling to EES.
So if EES has any questions about the charges we should be able to pull up the detail very quickly.
The following items will settle to an EES cost center since they are expense related.
C.300000.01.PI.TR	Rel 1 PI Training Dev & Delivery   C.300000.01.PI.PI	Rel 1 PI Post Implementation Support   C.300000.01.PI.GA	Rel 1 PI General & Administrative
",Genesys or now the Liberty Project,"[수신자], 아래는 프로젝트에 대해 받은 정보입니다.
저는 여전히 EES에서 비용 부분을 정산하기 위한 비용 센터를 기다리고 있습니다.
이 정보를 살펴보고 여전히 이 문제를 논의하기 위해 만나고 싶은지 알려주세요.
이것은 EES 프로젝트로, 프로젝트 비용의 자본 부분을 포착하기 위해 EES에 설정되었습니다.
비용 부분은 EES 비용 센터에 정산되어야 합니다.
아래에 표시된 프로젝트 설정은 제가 설정했지만 아직 릴리스하지 않은 네트워크 프로젝트입니다.
아래에 릴리스 1만 표시됩니다.
세 개의 릴리스가 설정되어 있지만 이번에는 첫 번째 릴리스만 릴리스됩니다.
세 개의 릴리스 또는 단계는 다른 단계와 비슷하게 보일 것입니다.
아래에서 볼 수 있듯이 프로젝트의 자본 부분(솔루션 정의, 설계 및 빌드, 구현 및 테스트)은 세 가지 기본 WBS 요소로 설정됩니다.
아래에 설명된 이러한 요소는 다음과 같이 EES 프로젝트에 정산됩니다.
네트워크 프로젝트 코딩이 EES 프로젝트 WBS에 정산됨 C.300000.01.SD.OU Rel 1 SD 외부 컨설턴트 노동 C.007730.22.01 외부 전문가 C.300000.01.SD.EN Rel 1 SD Enron 노동 C.007730.22.03 Enron 노동 C.300000.01.SD.OE Rel 1 SD 기타 지출 C.007730.22.05 기타 지출 C.300000.01.HW 하드웨어 구매 C.007730.24.01 하드웨어 C.300000.01.SW 소프트웨어 구매 C.007730.24.02 소프트웨어 이를 통해 네트워크 프로젝트의 비용을 EES에 요금이 어떻게 결제되는지 지원하는 방식으로 추적할 수 있습니다.
따라서 EES에서 요금에 대한 질문이 있으면 매우 빠르게 세부 정보를 가져올 수 있어야 합니다.
다음 항목은 비용과 관련이 있으므로 EES 비용 센터에 정리됩니다.
C.300000.01.PI.TR Rel 1 PI 교육 개발 및 제공 C.300000.01.PI.PI Rel 1 PI 구현 후 지원 C.300000.01.PI.GA Rel 1 PI 일반 및 관리",
"Everyone:  Thanks are due to you all who responded to our requests for data and committed resources.
I wanted to update you on where things stands as of now.
The data is being reviewed both internally and externally.
The form and substance of the data we have requested, the due diligence questionnaires, and Enron's previously produced forms of data are excellent proxies for the information that will be required from us when a specific bank is chosen to structure and execute the anticipated transaction.
However, I am certain that we will still require your commitment to providing updates, clarifications, and additions on a timely basis.
Please let us know as soon as possible what conflicts may arise with your schedules and obligations over the next month.
Again, thank you for your efforts thus far.
Please call me at extension 33139 if you have any questions, concerns, or suggestions.
",UPDATE,"모두: 데이터 요청에 응답하고 리소스를 제공해주신 모든 분들께 감사드립니다.
현재 상황을 알려드리고자 합니다.
데이터는 내부 및 외부에서 검토 중입니다.
요청한 데이터의 형식과 내용, 실사 설문지, [기업명]에서 이전에 작성한 데이터 형식은 특정 은행을 선택하여 예상되는 거래를 구성하고 실행할 때 필요한 정보를 대신할 수 있는 훌륭한 대리 자료입니다.
그러나 적시에 업데이트, 설명 및 추가 사항을 제공하려는 여러분의 헌신이 여전히 필요할 것으로 확신합니다.
다음 달에 일정 및 의무와 충돌이 발생할 수 있는 경우 최대한 빨리 알려주십시오.
지금까지 여러분의 노고에 다시 한번 감사드립니다.
질문, 우려 사항 또는 제안 사항이 있으면 내선 [전화번호]로 전화해 주십시오.
",
"Dear Sally,  Here is the list of people who came in on Saturday.
None of us minded it, we all would like to do whatever we can to help.
Risk Controls (preparation of the DPR) Chris Abel Johnny (Kenneth) Thibodeaux John Allison  Risk Analytics Tom Victorio Keith Considine Susan Trevino  Merchant Assets Susie Ayala  I was also here.
Best regards!
",list of people who came in on Saturday,"[수신자]에게, 토요일에 온 사람들의 목록입니다.
우리 중 아무도 신경 쓰지 않았고, 우리 모두 도울 수 있는 모든 것을 하고 싶습니다.
위험 관리(DPR 준비) [이름], [이름1], [이름2], [이름3], [이름4], [이름5], [이름6]. 저도 여기 있었습니다.
감사합니다!",
"Here is the report we've put together summarizing headcount by function and business unit.
There are some changes from the figures Fin Ops had last week, mainly relating to EES (both 2001 forecast and 2002 Plan were off).
Brian will coordinate with Fin Ops to ensure they reflect the same figures that we now show.
There are two things that will be updated once we receive more information: 1)  EES 2002 headcount will be increasing (Shelly Butler to provide as soon as they have it) 2)  EBS forecast and plan headcount will be broken out by function - right now, we just have one number.
Call me if you have any questions.
Thanks,
",Energy Ops Headcount Report,"여기에 기능 및 사업부별 직원 수를 요약한 보고서가 있습니다.
지난주 [기업명]에서 발표한 수치에서 몇 가지 변경 사항이 있는데, 주로 EES와 관련이 있습니다(2001년 예측과 2002년 계획 모두 틀렸습니다).
[이름]이 [기업명]와 협력하여 현재 보여주는 수치와 동일한 수치를 반영하도록 할 것입니다.
추가 정보를 받으면 업데이트할 두 가지 사항이 있습니다. 1) EES 2002 직원 수가 증가합니다([이름1]가 정보를 입수하는 대로 제공할 예정입니다) 2) EBS 예측 및 계획 직원 수는 기능별로 구분됩니다. 지금은 숫자가 하나뿐입니다.
궁금한 사항이 있으면 전화주세요.
감사합니다.",
"Sally, Attached is a very simplistic run rate analysis for Beth Perlman's group.
I'm surprised at how close it is once one time reconciling items are included.
Headcount for 2002 is pretty flat to September's.
Please let me know if you would like to discuss this.
Kerry
",IT Development Spend Rate Analysis,"[수신자], 첨부된 것은 베스 펄먼의 그룹에 대한 매우 단순한 실행 속도 분석입니다.
한 번 조정 항목을 포함하면 얼마나 가까운지 놀랍습니다.
2002년 인원은 9월과 거의 비슷했습니다.
이에 대해 논의하고 싶으시면 알려주세요.
[발신자]
",
"Attached is the ERMS Discounting Memo as of 9/26/01.
Please note that the 9/26/2001 balance is based on the new method of calculating the discounting amount.
The changes that were made are as followed:  			Old method	New method Physical contract 	55 days		55 days Financial contract	55 days		5 days Financial calendar	55 days		38 days  Please let me know if you have questions.
Thanks
",ERMS Discounting Memo,"첨부된 ERMS 할인 메모는 2001년 9월 26일 기준입니다.
2001년 9월 26일 잔액은 할인 금액을 계산하는 새로운 방법을 기반으로 합니다.
변경 사항은 다음과 같습니다. 이전 방법 새 방법 물리적 계약 55일 55일 금융 계약 55일 5일 금융 일정 55일 38일 질문이 있으면 알려주세요.
감사합니다.
",
"This message is brought to you by The Texas Exes.
If you have any comments or suggestions about it's content contact us at career@alumni.utexas.edu .
Please do not respond to this e-mail using the ""REPLY"" function.
To UNSUBSCRIBE see instructions at the bottom.
",Sign up for the Texas Exes Career Network,"이 메시지는 Texas Exes에서 제공합니다.
내용에 대한 의견이나 제안 사항이 있으면 [이메일 주소]로 연락해 주세요.
""답장""기능을 사용하여 이 이메일에 답장하지 마십시오.",
"Greetings everyone- With a week and a half to go until our second session, I wanted to check in and ask you to begin thinking in your learning teams about how you want to share the information you have been gathering with the larger group.
On Friday, Nov 2, each team will be allocated 30 minutes to report on what you have learned, followed by 15 minutes of plenary Q&A/discussion.
I encourage each team to be as creative as possible in your report-outs.
Keep in mind that most adults learn best experientially versus through straight information download.
Thus, if you can find a way to invite the larger group to sample the learning experience that you had, these sessions will be all the more effective AND enjoyable.
As an example, you could select two or three key moments -- from a meeting, interview or learning journey -- and
",CHF Learning Teams and Session II,"안녕하세요 여러분. 두 번째 세션까지 일주일 반이 남았는데, 인사드리고자 합니다. 학습 팀에서 수집한 정보를 대규모 그룹과 어떻게 공유할지 생각해 보시기 바랍니다.
11월 2일 금요일에 각 팀은 30분 동안 학습한 내용을 보고하고, 그 후 15분 동안 전체 회의 Q&A/토론을 진행합니다.
각 팀이 보고할 때 최대한 창의적이기를 바랍니다.
대부분 성인은 직접 정보를 다운로드하는 것보다 경험적으로 더 잘 배운다는 점을 명심하세요.
따라서 대규모 그룹을 초대하여 학습 경험을 샘플링할 방법을 찾을 수 있다면 이 세션은 더욱 효과적이고 즐거울 것입니다.
예를 들어, 회의, 인터뷰 또는 학습 여정에서 두 세 가지 중요한 순간을 선택하기가 있습니다.
",
"Torrey - attached is a listing of top financial counterparties in alphabetical order.
My understanding of the data you are providing to Brad Richter is that it will be based only on EOL data.
If you need me to provide non-EOL data please call me.
If you have further questions, please let me know.
I can be reached on ext.
37962.
Thanks,
",Top Financial Trading Counterparties,"[수신자] - 알파벳 순으로 정리된 주요 재무 거래처 목록을 첨부했습니다.
[이름]에게 제공하는 데이터에 대한 제 이해는 EOL 데이터에만 기반한다는 것입니다.
EOL이 아닌 데이터를 제공해 달라고 요청하시면 저에게 전화해 주세요.
추가 질문이 있으면 알려주세요.
내선번호 [전화번호]로 연락 가능합니다.
감사합니다.",
"Sally,  As per our phone conversation, here is a proposed plan for sizing the opportunity.
I will try to set up some time on your calendar later this week to discuss.
I am copying Greg as well.
Hope you have a good trip.
Regards,
",Sizing the Back-Office Outsourcing Opportunity,"[수신자], 전화 통화에 따르면, 기회의 규모를 정하기 위한 제안된 계획이 있습니다.
이번 주 후반에 일정에 시간을 정해 논의하도록 하겠습니다.
저도 [이름]에게 전달하겠습니다.
좋은 여행 되시길 바랍니다.
감사합니다.
",
"Dear Ms. Beck and Ms. Apollo,  It was a sincere pleasure to meet with you yesterday.
The information I  learned during the interview served to confirm the feelings I have always had  about Enron.
Unfortunately I received the disappointing news that Enron was not  pursuing employment possibilities with me further.
I feel strongly that Enron and its  products and services have an exciting growth ahead, and  I  definitely would like to be considered for opportunities available in the  future.
Again, I appreciate your time and  consideration, and hope to hear from you in the near  future.
Sincerely,
",Yesterday interview,"[수신자]씨와 [수신자1]씨께, 어제 여러분을 만나 뵙게 되어 진심으로 기뻤습니다.
면접에서 알게 된 정보는 제가 [기업명]에 대해 항상 가지고 있던 감정을 확인해 주었습니다.
불행히도 [기업명]이 저와 함께 더 이상 취업 기회를 모색하지 않는다는 실망스러운 소식을 들었습니다.
저는 [기업명]과 그 제품과 서비스가 앞으로 흥미진진한 성장을 이룰 것이라고 확신하며, 앞으로 가능한 기회에 대해 고려되기를 바랍니다.
다시 한번, 여러분의 시간과 배려에 감사드리며 가까운 시일 내에 연락을 주시기를 바랍니다.
",
"Attached is a summary report of the EWS tactical (revenue driven) and strategic (educational) visits to Enron supported by experience ENRON in third quarter 2001.
At experience ENRON, our goal is to support the EWS deal development teams by creating powerful Enron experiences that result in greater favorability and familiarity of Enron while differentiating us from the competition.
Our role is to: Reduce time and labor costs associated with planning and execution of customer visits Coordinate BU subject matter experts (SME's) to tell the Enron story, i.e.
EOL, trading, etc.
Customize agendas aligned with Enron and customer objectives Shorten sales cycles   We are here to support your team in reaching your goals.
Please call with questions or changes.
",EWS Q3 2001 experience ENRON Report,"첨부된 것은 2001년 3분기에 Experience ENRON에서 지원한 [기업명]에 대한 EWS 전술적(수익 주도) 및 전략적(교육적) 방문에 대한 요약 보고서입니다.
Experience ENRON에서 저희의 목표는 [기업명]에 대한 호감도와 친숙도를 높이고 경쟁사와 차별화하는 강력한 [기업명] 경험을 만들어 EWS 거래 개발 팀을 지원하는 것입니다.
저희의 역할은 다음과 같습니다. 고객 방문 계획 및 실행과 관련된 시간과 노동 비용 절감 [기업명] 스토리를 알리기 위해 BU 주제 전문가(SME) 조정, 즉
EOL, 거래 등 [기업명] 및 고객 목표에 맞춰 일정 맞춤화 판매 주기 단축 저희는 귀사 팀이 목표를 달성하도록 지원하기 위해 있습니다.
질문이나 변경 사항이 있으면 전화해 주십시오.",
"Sally-  I made a mistake in saying that we would have the London report ready for your review today.
We are not currently keeping a cash collections report on the London cash receipts to the detail that we are here in Houston and, therefore, have not been able to determine the ""cash received"" percentages for the month of September.
However, Pamela Lebrane of Project Sunrise has said that a report containing the required information will be available and easily accessable as a download from SAP by the end of October.
As a backup, the London office has agreed to maintain a side spreadsheet for the month of October which will keep track of all invoices due during the month and the timeliness of cash received.
Either way, we will make certain to provide an EGM consolidated report for the month of October.
I do apologize for the inconvenience.
Attached below is a revised version of our Houston report that we had provided on Friday.
I noticed that I had included invoices that were due in August as well.
A hard copy will be delivered to your office tomorrow.
Regards,
",EGM Cash Collections Report,"[수신자]- 오늘 런던 보고서를 검토할 수 있도록 준비하겠다고 말한 데 실수가 있었습니다.
현재 휴스턴에 있기 때문에 런던 현금 영수증에 대한 현금 수금 보고서를 자세히 보관하지 않고 있으며, 따라서 9월의 ""현금 수령"" 비율을 확인할 수 없었습니다.
그러나 Project Sunrise의 [이름]은 필요한 정보가 포함된 보고서를 10월 말까지 SAP에서 다운로드하여 쉽게 액세스할 수 있을 것이라고 말했습니다.
백업으로 런던 사무실은 10월 동안 모든 송장과 수령 현금의 적시성을 추적하는 10월용 사이드 스프레드시트를 유지하기로 했습니다.
어느 쪽이든 10월의 EGM 통합 보고서를 제공하도록 하겠습니다.
불편을 끼쳐드려 죄송합니다.
아래에 금요일에 제공한 휴스턴 보고서의 수정된 버전을 첨부했습니다.
8월에 만기가 된 송장도 포함시킨 것을 알았습니다.
내일 사무실로 종이 사본이 배달될 것입니다.
감사합니다.
",
"After meeting with our ENW OTC this morning, Whalley has requested the following information:  Total current IT asset balance before accumulated depreciation (including hardware, software, capitalized development).
Total current accumulated depreciation related to the above IT dollars.
Planned 2002 IT depreciation expense.
Please note, you should only be reflecting dollars for IT assets that are on your respective BU's books.
Planned '02 IT depreciation should just reflect depreciation expense from those assets.
IT assets on ENW's books will be picked up by ENW Fin Ops.
Depreciation recognized on ENW's books and then allocated to other BU's will be reflected as ENW depreciation and should NOT be reflected in any other BU for purposes of this analysis.
Whalley would like to see this information tomorrow.
Therefore, please let me know if your respective area cannot provide the information to me by noon tomorrow (10/16).
I'm at X3-5439 if you have any questions.
Thanks,
",Whalley Request - IT Asset & Depreciation Analysis,"오늘 아침 ENW OTC와 회의를 한 후, [이름]는 다음 정보를 요청했습니다. 누적 감가상각 전 총 현재 IT 자산 잔액(하드웨어, 소프트웨어, 자본화된 개발 포함).
위의 IT 달러와 관련된 총 현재 누적 감가상각.
계획된 2002년 IT 감가상각 비용.
각 BU의 장부에 있는 IT 자산에 대한 달러만 반영해야 합니다.
계획된 '02년 IT 감가상각은 해당 자산의 감가상각 비용만 반영해야 합니다.
ENW 장부에 있는 IT 자산은 ENW 재무 운영부에서 처리합니다.
ENW 장부에 인식된 후 다른 BU에 할당된 감가상각은 ENW 감가상각으로 반영되며 이 분석의 목적을 위해 다른 BU에는 반영되어서는 안 됩니다.
Whalley는 내일 이 정보를 보고 싶어합니다.
따라서 각 지역에서 내일 정오(10/16)까지 정보를 제공할 수 없는 경우 알려주십시오.
[장소]에 있습니다. 질문이 있으면 연락주세요.
고맙습니다.
",
"Dear Clients,  We would like to announce two changes to your HR Team.
Janet de la Paz will be transitioning out of our HR Team tomorrow to her  new HR Team in Mergers and Acquisitions as their Sr.
Administrative Assistant.
Janet has been a key member of our team this past year by helping us with all of the important day to day details needed to serve all of our clients.
We ask you to join us in thanking Janet for all of her hard work and dedication this past year and to wish her continued success in her future endeavors.
Janet's contributions have been very valuable to us and we will miss working with her.
Our newest Team member, Karen Campos, will be joining us tomorrow as our new Sr.
Administrative Assistant.
Karen has been involved with the Enron International HR Team and joins us with valuable HR support experience to help all of us meet your service needs.
We will be bringing Karen by to meet you in the next few weeks and look forward to the new partnerships that she will form with all of our clients.
You will be able to reach Karen tomorrow at ext.
66463.
Thank you for your continued support.
",HR Team Changes,"친애하는 고객 여러분, 인사팀에 두 가지 변경 사항이 있음을 알려드립니다.
[이름]는 내일 우리 인사팀에서 나와 인수 합병 부문의 새로운 인사팀인 [부서]로 자리를 옮길 예정입니다.
[이름]은 지난 한 해 동안 우리 팀의 핵심 멤버였으며, 모든 고객에게 서비스를 제공하는 데 필요한 모든 중요한 일상적 세부 사항을 도와주었습니다.
[이름]의 지난 한 해 동안의 노고와 헌신에 감사드리고 앞으로도 계속 성공하시기를 기원합니다.
[이름]의 기여는 우리에게 매우 귀중했으며 그녀와 함께 일하게 되어 그리울 것입니다.
우리의 가장 새로운 팀 멤버인 [이름1]가 내일 새로운 [부서1]로 합류합니다.
[이름1]은 [부서2]팀에 참여했으며, 귀중한 HR 지원 경험을 바탕으로 우리 모두가 귀사의 서비스 요구 사항을 충족할 수 있도록 도울 것입니다.
다음 몇 주 안에 [이름1]을 데려와서 여러분을 만나 뵙겠습니다. 그리고 그녀가 모든 고객과 맺을 새로운 파트너십을 기대합니다.
내일 내선번호 [전화번호]으로 [이름1]에게 연락할 수 있습니다.
지속적인 지원에 감사드립니다.",
"As you may be aware, SAP system response time was slow during earlier this week.
As a result, SAP Financials, iBuyit, and iPayit applications were experiencing longer than normal response times on most transactions.
The Integrated Solutions Center (ISC) has been working diligently to address the root causes of this issue and has deployed a task force to address the following identified areas:  Technical Issues (Infrastructure and Application related) Internal Process Improvements (Both within the ISC and in the User Community) Education of Business Users  We have made significant improvements in the last few days and as a result currently running within normal response time.
We will continue to provide weekly status updates on our continued progress.
",SAP System Response Update,"아시다시피, 이번 주 초에 SAP 시스템 응답 시간이 느렸습니다.
그 결과, SAP Financials, iBuyit, iPayit 애플리케이션은 대부분 거래에서 정상보다 긴 응답 시간을 경험했습니다.
통합 솔루션 센터(ISC)는 이 문제의 근본 원인을 해결하기 위해 부지런히 노력해 왔으며 다음과 같은 식별된 영역을 해결하기 위해 태스크포스를 배치했습니다. 기술적 문제(인프라 및 애플리케이션 관련) 내부 프로세스 개선(ISC 내부 및 사용자 커뮤니티 모두) 비즈니스 사용자 교육 지난 며칠 동안 상당한 개선을 이루었고 그 결과 현재 정상적인 응답 시간 내에 실행되고 있습니다.
계속해서 진행 상황에 대한 주간 상태 업데이트를 제공할 것입니다.
",
"Sally -   We would like to begin tracking & measuring volumes transacted and settled in the retail business - by commodity.
Can we discuss how to get our arms around this and when we can begin to see weekly, monthly, quarterly data?
Thanks - Dan
",Retail Business Commodity Volumes,"[수신자] - 우리는 상품별로 소매업에서 거래되고 결제된 양을 추적하고 측정하고 싶습니다.
이를 어떻게 활용할 수 있는지, 그리고 언제부터 주간, 월간, 분기별 데이터를 볼 수 있는지 논의할 수 있습니까?
감사합니다 - [발신자]
",
