email_body,subject_line,translation
"Christy,   I read these points and they definitely need some touch up.
I don't  understand why we need to give our commentary on  why prices are so high in  California.
This subject has already gotten so much press.
Phillip
",Talking points about California Gas market,"안녕하세요, [수신자] 님.

해당 요점을 검토해보았는데, 일부 내용은 분명히 수정이 필요해 보입니다.
특히 [특정 주제]에 대한 해설이 왜 필요한지에 대해서는 조금 의문이 듭니다.
이 사안은 이미 다양한 매체에서 충분히 다루어진 만큼, 반복 설명이 꼭 필요한지 다시 고민해보면 좋겠습니다.

감사합니다.
[발신자]"
"Jed,   I understand you have been contacted regarding a telephone interview to  discuss trading opportunities at  Enron.
I am sending you this message to  schedule the interview.
Please call or email me with a time that would be  convenient for you.
I look forward to speaking with you.
",Enron,"안녕하세요, [수신자] 님.

[기업명]과 관련된 거래 기회에 대해 논의할 전화 인터뷰와 관련해 연락을 받으셨다고 들었습니다.
이 인터뷰 일정을 조율하기 위해 이 메시지를 드립니다.

편하신 시간을 알려주시면, 전화 또는 이메일로 연락드리겠습니다.

통화할 수 있기를 기대합니다.

감사합니다.
[발신자]"
"Griff,    Can you accomodate Dexter as we have in the past.
This has been very helpful  in establishing a fair index at Socal Border.
Phillip  Please cc me on the email with a guest password.
The sooner the better as  bidweek is underway.
",NGI access to eol,"안녕하세요, [수신자] 님.

과거와 마찬가지로 [이름1]를 수용할 수 있을지 여쭙고 싶습니다.
이러한 방식은 [특정 지역]에서 공정한 기준을 마련하는 데 큰 도움이 된 바 있습니다.

또한, **게스트 비밀번호와 함께 이메일에 저를 참조(참석자 포함)**해 주시기 바랍니다.
현재 입찰 관련 일정이 진행 중이므로, 가능한 한 빠르게 처리해 주시면 감사하겠습니다.

감사합니다.
[발신자]"
"Lucy,  The apartments that have new tenants since December 15th are:   1,2,8,12,13,16,20a,20b,25,32,38,39.
Are we running an apartment complex or a motel?
Please update all lease information on the 1/12 rentroll and email it to me  this afternoon.
Phillip
",updated lease information,"안녕하세요, [수신자] 님.

12월 15일 이후로 새로운 입주자가 들어온 아파트는 다음과 같습니다:
1, 2, 8, 12, 13, 16, 20a, 20b, 25, 32, 38, 39

우리는 아파트 단지를 운영하는 것인지, 모텔을 운영하는 것인지 다시 한번 생각해보게 됩니다.
1월 12일 기준 임대료 목록에 포함된 모든 임대 정보를 업데이트하여 오늘 오후까지 이메일로 보내주시기 바랍니다.

감사합니다.
[발신자]"
"Liane,   As we discussed yesterday, I am concerned there has been an attempt to  manipulate the  El Paso San Juan monthly index.
A single buyer entered the  marketplace on both September 26 and 27 and paid above market prices  ($4.70-$4.80) for San Juan gas with the intent to distort the index.
At the  time of these trades, offers for physical gas at significantly (10 to 15  cents) lower prices were bypassed in order to establish higher trades to  report into the index calculation.
Additionally, these trades are out of  line with the associated financial swaps for San Juan.
We have compiled a list of financial and physical trades executed from  September 25 to September 27.
These are the complete list of trades from  Enron Online (EOL), Enron's direct phone conversations, and three brokerage  firms (Amerex, APB, and Prebon).
Please see the attached spreadsheet for a  trade by trade list and a summary.
We have also included a summary of gas  daily prices to illustrate the value of San Juan based on several spread  relationships.
The two key points from this data are as follows:   1.
The high physical prices on the 26th & 27th (4.75,4,80) are much greater  than the high financial trades (4.6375,4.665) on those days.
2.
The spread relationship between San Juan and other points (Socal &  Northwest)  is  consistent between the end of September and         October gas daily.
It doesn't make sense to have monthly indeces that  are dramatically different.
I understand you review the trades submitted for outliers.
Hopefully, the  trades submitted will reveal counterparty names and you will be able to  determine that there was only one buyer in the 4.70's and these trades are  outliers.
I wanted to give you some additional points of reference to aid in  establishing a reasonable index.
It is Enron's belief that the trades at  $4.70 and higher  were above market trades that should be excluded from the  calculation of index.
It is our desire to have reliable and accurate indeces against which to  conduct our physical and financial business.
Please contact me  anytime I can assist you towards this goal.
Sincerely,
",San Juan Index,"안녕하세요, [수신자] 님.

어제 논의한 내용과 관련하여, 최근 월간 지수에 영향을 미치려는 시도로 보이는 거래 활동에 대해 우려하고 있습니다.
특정 참여자가 시장 평균보다 높은 가격으로 거래를 체결하여 지수를 왜곡하려는 의도를 보였으며, 이로 인해 일부 합리적인 제안 가격이 무시된 사례가 확인되었습니다.

해당 거래들은 관련 파생상품 가격과도 일치하지 않으며, 저희는 거래 내역 및 관련 데이터 목록을 정리해두었습니다.
첨부된 파일에는 거래 목록, 요약 정보, 시장 가격 요약 등이 포함되어 있으며, 이는 특정 날짜의 가격 왜곡 가능성을 설명하는 데 도움이 될 것입니다.

저희는 지수 산정 기관이 제출된 거래 중 이상 거래를 식별하고, 시장 평균과 현저히 차이 나는 거래는 지수 산정에서 제외되기를 희망합니다.
신뢰할 수 있는 시장 지수 확보는 실물 및 파생 거래의 투명성과 신뢰성을 위해 필수적이며, 이에 도움이 될 수 있다면 언제든지 협력할 의사가 있습니다.

감사합니다.
[발신자]"
"All -    In preparation for another round of Trading Track interviews for the ENA group, please be aware of the following dates...   October 10 - October 16 :  Initial phone interviews by two traders for External candidates.
October 24, 3:00 - 6:00pm :  Final interviews for internal and external candidates.
Please send either Karen Buckley or me the names of internal individuals who you feel would be a great candidate for the ENA Trading Track.
We look forward to your active participation.
Kind regards,
",ENA Trading Track Interviews,"모두에게,
[부서명]의 [프로그램명] 면접 일정을 준비하기 위해 아래 일정을 참고해 주세요.

[날짜1] - [날짜2]: 외부 지원자를 대상으로 2명의 면접관이 진행하는 초기 전화 면접

[날짜3], 오후 [시간1] - 오후 [시간2]: 내부 및 외부 지원자를 대상으로 하는 최종 면접

[이름] 또는 저에게 해당 프로그램에 적합하다고 생각되는 내부 인재 추천자 명단을 전달해 주세요.
여러분의 적극적인 참여를 부탁드립니다.

감사합니다.
[발신자]"
"Gentlemen  I wanted to provide you an update on the status of the Refco private label platform deal.
We have had several meetings since I first presented the idea to you all.
Unfortunately, Refco's headquarters was in One World Financial Center which was severely damaged by debris from the World Trade Center collapse.
They suffered no human losses from the disaster, but their offices are off limits and all their computers and paper files are inaccessible for the time being.
They are up and running out of a Jersey City location with some back up capability.
To briefly summarize the discussion so far, ENW would build a Refco branded platform similar to EOL that would be accessed by Refco's customers.
Enron would provide transactable prices to the site with wider spreads and potentially smaller minimum volumes.
Refco customers would transact on the site with Refco as their counterparty and Refco would sleeve the transactions to Enron allowing us to consolidate our credit risk to a singular credit, Refco.
The products contemplated include various Nymex look-a-like products and other liquid swaps in oil, natural gas, and electricity.
Revenue would come to Enron in the form of license fees for the platform, transaction fees, and origination from the additional volume create by the wider margin products.
Revenue would come to Refco in the form of transaction fees.
Refco has a similar arrangement in place for FX with Dresner bank and have announced a similar platform for bonds and securities with Cantor Fitzgerald/E-speed.
All that being said, they are anxious to move the discussion forward and we have planned a visit for them to come to Houston in 2 weeks.
Attending will be Gary Weiss, SVP Refco Group Ltd. LLC and President & CEO of Refco F/X Ltd LLC, and Joe Murphy, CEO Refco Futures Ltd. LLC.
The purpose of this visit is for them to give us a presentation on the Refco Group of companies, discuss the products and estimations of revenue streams based on their current futures business, and discuss the possible structure of the deal.
The meeting is scheduled to begin at 2:30pm Thursday Oct 4 and expected to last the balance of the day and possibly into the next morning.
I will approach you all individually to get your feedback on how you would like to interact with them and when.
I realize there are significant issues to be addressed.
Refco currently has some 175,000 collateralized customer accounts ranging from Institutional Investors & locals down to individuals.
We have put these into 2 buckets which have different profiles.
Phase 1 would include the Top 2000 accounts which are largely substantial institutional investors, locals, and high net worth individuals.
If this proves successful, phase 2 would be rolled out with products designed to attract activity from the smaller investors.
The idea would be to automate the products as much as is practical.
Mark Tayor in Legal has already spoken with their counsel and is comfortable that they have reviewed all the legal angles thoroughly.
Refco advises that if the have accounts back up by collateral guaranteed by them, they become Eligible Contract Participants (ECPs) able to execute derivatives.
So, they believe that the majority of the 175,000 accounts they have could be ECPs for the purposes of this deal.
Credit is reviewing the Refco financials and we plan to discuss this thoroughly during their visit.
Please do not hesitate to contact me at x36413 if you have any questions or comments and I will be getting in touch with you early next week to get your feedback.
Regards
",REFCO Project Update,"안녕하세요,

[프로젝트명] 플랫폼 거래에 대한 진행 상황을 공유드립니다.

이 아이디어를 처음 제안한 이후로 여러 차례 논의가 있었으며, 현재까지의 논의 내용을 간단히 정리하면 다음과 같습니다:

[기업명]는 [플랫폼명]과 유사한 자체 플랫폼을 구축할 예정이며, 사용자는 해당 플랫폼을 통해 [기업명]를 상대방으로 거래할 수 있습니다.

[기업명1]은 거래 가격을 제시하며, 거래는 [기업명1]을 통해 중개되어 신용 위험을 통합적으로 관리할 수 있게 됩니다.

주요 수익원은 플랫폼 라이선스 수수료, 거래 수수료, 마진 기반의 추가 거래 수익 등입니다.

향후 2단계로 더 많은 소규모 고객 대상 상품도 출시할 수 있습니다.

한편, [기업명] 본사는 최근 예기치 못한 상황으로 인해 임시 사무소에서 운영 중이며, 법무팀 및 신용 관련 검토도 진행 중입니다. 고객 계정의 대부분은 관련 규정을 충족하는 것으로 판단됩니다.

이에 따라, [날짜]에 [기업명] 대표자들이 방문하여 사업 모델, 수익 추정, 구조 옵션 등을 논의할 예정입니다. 개별적인 참여 가능 여부에 대해 추후 연락드리겠습니다.

궁금한 점이나 의견이 있으시면 언제든지 연락 주세요.

감사합니다.
[발신자]"
"i hpe thingsa re ok for you.obviously a shit load of rumours circulating .
we both know youll be ok personally but cant be fun.
if i can help you know where im at.
be cool
",stuff,"안녕하세요,
최근 여러 이야기가 오가고 있지만, 당신이 무사하길 바랍니다.
우리 모두 당신이 개인적으로 잘 지내고 있으리라 믿지만, 지금 상황이 쉽지 않을 것 같다는 생각도 듭니다.
제가 도움이 될 수 있다면 언제든지 알려주세요.
마음을 편히 가지시길 바랍니다.

[발신자]"
"Front to backs are huge Is the delivered basis market holding value or is it getting crushed?.
Heard about el paso oct feb roll, from where I'm at, thinking selling Oct and going long Feb phys is better than feb merc, rather stack length in winter front and bet on hording of existing storage given forecast At these levels I like owning winter physical against NYMEX short?Is the bias that the EFP's blow out further?
Frank
",Trade idea,"[수신자],

현재 시장 상황과 관련하여 몇 가지 검토 사항을 공유드립니다.
전달 기준 시장이 여전히 가치를 유지하고 있는지, 혹은 하락세에 접어들었는지에 대해 내부적으로 논의 중입니다.

제가 확인한 바로는 특정 월물 간 스프레드 전략(예: 단기물 매도, 장기물 매수)이 단순한 선물 포지션보다 더 유리할 수 있다는 의견이 있습니다. 특히 겨울철 예상 수요와 관련된 전략적 포지션 설정이 논의되고 있습니다.

현재 수준에서 물리적 계약의 보유가 선물 숏 포지션 대비 장점이 있는 것으로 보이며, EFP(Exchange for Physical)에 대한 가격 움직임도 주시할 필요가 있습니다. 혹시 관련 의견이나 시장 전망이 있으시면 공유 부탁드립니다.

감사합니다.
[발신자]"
"John,  As discussed, the AIG exposure is $57MM, and it is distributed among the price, option, and exotic books.
The attached spreadsheet details the dollar value and volume by month by book.
Please call if you have questions.
Tanya
",AIG positions,"[수신자],

논의한 바와 같이, 관련 노출 규모는 총 5,700만 달러이며, 다양한 상품과 포지션에 분산되어 있습니다.
첨부된 스프레드시트에는 각 포트폴리오별로 월별 달러 가치 및 거래량이 상세히 정리되어 있습니다.

추가로 궁금한 사항이 있으시면 언제든지 연락 주세요.

감사합니다.
[발신자]"
"The following reports have been waiting for your approval for more than 4 days.
Please review.
Owner: Justin K Rostant Report Name: Rostant 112001 Days In Mgr.
Queue: 5
",Expense Reports Awaiting Your Approval,"다음 보고서는 4일 이상 승인을 기다리고 있습니다.
검토해 주세요.
소유자: [이름] 보고서 이름: [보고서 이름].
대기열: 5"
